LISTED_STOCKS,COMPANY,SECTOR,SUBSECTOR,YEAR,DATE,FS_YEAR,ASSETS,LIABILITIES,EQUITY,SALES,EBT,PROFIT_FOR_THE_PERIOD,PROFIT_ATTR_TO_OWNERS_ENTITY,EPS,BOOK_VALUE,PER,PBV,DER,ROA,ROE,NPM,Category
BEEF,Estika Tata Tiara Tbk. [S],AGRICULTURE,ANIMAL HUSBANDRY,Year 2019,Sep-19,Dec,886000000000.0,493000000000.0,392000000000,903000000000.0,63000000000.0,46000000000.0,46000000000.0,32.7,208.0,6.18,0.97,1.26,6.95,15.7,6.82,Not Overvalued
BISI,Bisi International Tbk. [S],AGRICULTURE,CROPS,Year 2019,Dec-19,Dec,2941000000000.0,624000000000.0,2317000000000,2272000000000.0,405000000000.0,307000000000.0,307000000000.0,102.3,772.0,8.9,1.18,0.27,10.4,13.2,13.5,Not Overvalued
DSFI,Dharma Samudera Fishing Industries Tbk. [S],AGRICULTURE,FISHERY,Year 2019,Sep-19,Dec,374000000000.0,186000000000.0,188000000000,377000000000.0,8130000000.000001,6220000000.0,6220000000.0,4.46,101.0,17.0,0.77,0.99,2.22,4.4,2.2,Not Overvalued
AALI,Astra Agro Lestari Tbk. [S],AGRICULTURE,PLANTATION,Year 2019,Dec-19,Dec,26974000000000.0,7996000000000.0,18979000000000,17453000000000.0,661000000000.0,244000000000.0,211000000000.0,109.7,9861.0,56.0,0.62,0.42,0.78,1.11,1.21,Not Overvalued
ANDI,Andira Agro Tbk. [S],AGRICULTURE,PLANTATION,Year 2019,Dec-19,Dec,487000000000.0,228000000000.0,259000000000,312000000000.0,17000000000.0,12000000000.0,12000000000.0,1.34,28.0,37.0,1.8,0.88,2.56,4.82,4.01,Not Overvalued
ANJT,Austindo Nusantara Jaya Tbk. [S],AGRICULTURE,PLANTATION,Year 2019,Dec-19,Dec,8725000000000.0,3305000000000.0,5421000000000,1818000000000.0,104000000000.0,-64000000000.0,-59000000000.0,-17.4,1616.0,-29.0,0.31,0.61,-0.671,-1.08,-3.22,Not Overvalued
BWPT,Eagle High Plantations Tbk.,AGRICULTURE,PLANTATION,Year 2019,Dec-19,Dec,15796000000000.0,11183000000000.0,4613000000000,2513000000000.0,-1444000000000.0,-1167000000000.0,-1137000000000.0,-36.1,146.0,-2.22,0.55,2.42,-7.2,-24.7,-45.3,Not Overvalued
CSRA,Cisadane Sawit Raya Tbk. [S],AGRICULTURE,PLANTATION,Year 2019,Jun-19,Dec,1345000000000.0,907000000000.0,438000000000,223000000000.0,8630000000.0,4430000000.0,4430000000.0,4.32,214.0,63.0,1.27,2.07,0.66,2.02,3.96,Overvalued
DSNG,Dharma Satya Nusantara Tbk.,AGRICULTURE,PLANTATION,Year 2019,Dec-19,Dec,11621000000000.0,7889000000000.0,3732000000000,5737000000000.0,280000000000.0,178000000000.0,180000000000.0,17.0,352.0,19.0,0.93,2.11,1.55,4.82,3.14,Not Overvalued
GOLL,Golden Plantation Tbk.,AGRICULTURE,PLANTATION,Year 2019,Dec-18,Dec,2596000000000.0,1785000000000.0,811000000000,98000000000.0,-155000000000.0,-131000000000.0,-101000000000.0,-27.5,221.0,-1.82,0.23,2.2,-3.89,-12.4,-102.5,Not Overvalued
GZCO,Gozco Plantations Tbk. [S],AGRICULTURE,PLANTATION,Year 2019,Sep-19,Dec,1595000000000.0,1047000000000.0,548000000000,229000000000.0,-416000000000.0,-403000000000.0,-400000000000.0,-88.9,91.0,-0.562,0.55,1.91,-33.4,-97.3,-233.0,Not Overvalued
JAWA,Jaya Agra Wattie Tbk.,AGRICULTURE,PLANTATION,Year 2019,Sep-19,Dec,3517000000000.0,3059000000000.0,458000000000,556000000000.0,-220000000000.0,-216000000000.0,-214000000000.0,-75.7,121.0,-0.859,0.54,6.67,-8.12,-62.3,-51.4,Not Overvalued
LSIP,PP London Sumatra Indonesia Tbk. [S],AGRICULTURE,PLANTATION,Year 2019,Dec-19,Dec,10225000000000.0,1727000000000.0,8499000000000,3699000000000.0,353000000000.0,253000000000.0,254000000000.0,37.2,1246.0,19.0,0.57,0.2,2.48,2.99,6.86,Not Overvalued
MAGP,Multi Agro Gemilang Plantation Tbk. [S],AGRICULTURE,PLANTATION,Year 2019,Sep-19,Dec,1322000000000.0,859000000000.0,463000000000,122000000000.0,-47000000000.0,-47000000000.0,-47000000000.0,-6.92,51.0,-7.23,0.97,1.85,-4.71,-13.4,-50.9,Not Overvalued
MGRO,Mahkota Group Tbk. [S],AGRICULTURE,PLANTATION,Year 2019,Dec-19,Dec,1360000000000.0,659000000000.0,701000000000,1954000000000.0,33000000000.0,26000000000.0,4540000000.0,1.28,197.0,537.0,3.47,0.94,0.33,0.65,0.23,Overvalued
PALM,Provident Agro Tbk. [S],AGRICULTURE,PLANTATION,Year 2019,Dec-19,Dec,2330000000000.0,263000000000.0,2067000000000,189000000000.0,-72000000000.0,-71000000000.0,-71000000000.0,-9.93,290.0,-19.0,0.64,0.13,-3.03,-3.42,-37.4,Not Overvalued
PSGO,Palma Serasih Tbk.,AGRICULTURE,PLANTATION,Year 2019,Dec-19,Dec,3256000000000.0,2078000000000.0,1177000000000,729000000000.0,-176000000000.0,-161000000000.0,-161000000000.0,-8.54,62.0,-13.0,1.73,1.77,-4.94,-13.7,-22.1,Not Overvalued
SGRO,Sampoerna Agro Tbk.,AGRICULTURE,PLANTATION,Year 2019,Dec-19,Dec,9467000000000.0,5314000000000.0,4153000000000,3268000000000.0,174000000000.0,40000000000.0,33000000000.0,17.5,2197.0,142.0,1.13,1.28,0.35,0.8,1.01,Overvalued
SIMP,Salim Ivomas Pratama Tbk. [S],AGRICULTURE,PLANTATION,Year 2019,Dec-19,Dec,34911000000000.0,17130000000000.0,17781000000000,13650000000000.0,-197000000000.0,-642000000000.0,-546000000000.0,-34.5,1124.0,-6.2,0.19,0.96,-1.56,-3.07,-4.0,Not Overvalued
SMAR,SMART Tbk. [S],AGRICULTURE,PLANTATION,Year 2019,Dec-19,Dec,27788000000000.0,16854000000000.0,10933000000000,36198000000000.0,1166000000000.0,899000000000.0,899000000000.0,312.9,3807.0,9.36,0.77,1.54,3.23,8.22,2.48,Not Overvalued
SSMS,Sawit Sumbermas Sarana Tbk.,AGRICULTURE,PLANTATION,Year 2019,Dec-19,Dec,11845000000000.0,7777000000000.0,4069000000000,3278000000000.0,155000000000.0,12000000000.0,12000000000.0,1.23,427.0,730.0,2.1,1.91,0.1,0.29,0.36,Overvalued
INCF,Indo Komoditi Korpora Tbk.,BASIC INDUSTRY AND CHEMICALS, OTHERS,Year 2019,Sep-19,Dec,547000000000.0,393000000000.0,154000000000,420000000000.0,6010000000.0,4030000000.0000005,3970000000.0,3.68,107.0,14.0,0.47,2.56,0.97,3.45,1.26,Not Overvalued
INOV,Inocycle Technology Group Tbk.,BASIC INDUSTRY AND CHEMICALS, OTHERS,Year 2019,Sep-19,Dec,712000000000.0,379000000000.0,333000000000,380000000000.0,31000000000.0,24000000000.0,24000000000.0,18.0,184.0,18.0,1.74,1.14,4.57,9.78,8.58,Not Overvalued
KMTR,Kirana Megatara Tbk.,BASIC INDUSTRY AND CHEMICALS, OTHERS,Year 2019,Dec-19,Dec,4085000000000.0,2262000000000.0,1823000000000,9670000000000.0,42000000000.0,15000000000.0,16000000000.0,2.01,222.0,135.0,1.22,1.24,0.4,0.9,0.17,Overvalued
CPIN,Charoen Pokphand Indonesia Tbk. [S],BASIC INDUSTRY AND CHEMICALS,ANIMAL FEED,Year 2019,Dec-19,Dec,29353000000000.0,8281000000000.0,21072000000000,58635000000000.0,4595000000000.0,3615000000000.0,3635000000000.0,221.7,1285.0,21.0,3.58,0.39,12.4,17.2,6.2,Not Overvalued
CPRO,Central Proteina Prima Tbk.,BASIC INDUSTRY AND CHEMICALS,ANIMAL FEED,Year 2019,Sep-19,Dec,6432000000000.0,6058000000000.0,374000000000,5510000000000.0,-260000000000.0,-300000000000.0,-300000000000.0,-6.72,6.28,-7.44,7.96,16.2,-6.23,-107.0,-7.27,Not Overvalued
JPFA,Japfa Comfeed Indonesia Tbk. [S],BASIC INDUSTRY AND CHEMICALS,ANIMAL FEED,Year 2019,Dec-19,Dec,25185000000000.0,13737000000000.0,11448000000000,36743000000000.0,2573000000000.0,1884000000000.0,1765000000000.0,150.5,976.0,6.48,1.0,1.2,7.01,15.4,4.8,Not Overvalued
MAIN,Malindo Feedmill Tbk. [S],BASIC INDUSTRY AND CHEMICALS,ANIMAL FEED,Year 2019,Dec-19,Dec,4649000000000.0,2620000000000.0,2029000000000,7455000000000.0,249000000000.0,152000000000.0,152000000000.0,68.1,906.0,8.37,0.63,1.29,3.28,7.52,2.05,Not Overvalued
SIPD,Sierad Produce Tbk. [S],BASIC INDUSTRY AND CHEMICALS,ANIMAL FEED,Year 2019,Dec-19,Dec,2471000000000.0,1555000000000.0,916000000000,4106000000000.0,110000000000.0,80000000000.0,80000000000.0,59.6,684.0,18.0,1.59,1.7,3.23,8.71,1.94,Not Overvalued
INTP,Indocement Tunggal Prakarsa Tbk. [S],BASIC INDUSTRY AND CHEMICALS,CEMENT,Year 2019,Dec-19,Dec,27708000000000.0,4627000000000.0,23080000000000,15939000000000.0,2275000000000.0,1835000000000.0,1835000000000.0,498.6,6270.0,23.0,1.86,0.2,6.62,7.95,11.5,Not Overvalued
SMBR,Semen Baturaja (Persero) Tbk. [S],BASIC INDUSTRY AND CHEMICALS,CEMENT,Year 2019,Sep-19,Dec,5606000000000.0,2138000000000.0,3468000000000,1424000000000.0,67000000000.0,23000000000.0,23000000000.0,3.05,349.0,99.0,0.87,0.62,0.54,0.87,2.13,Overvalued
SMCB,Solusi Bangun Indonesia Tbk.,BASIC INDUSTRY AND CHEMICALS,CEMENT,Year 2019,Dec-19,Dec,19567000000000.0,12585000000000.0,6983000000000,11058000000000.0,408000000000.0,499000000000.0,499000000000.0,65.1,911.0,18.0,1.25,1.8,2.55,7.15,4.51,Not Overvalued
SMGR,Semen Indonesia (Persero) Tbk.,BASIC INDUSTRY AND CHEMICALS,CEMENT,Year 2019,Dec-19,Dec,79807000000000.0,43915000000000.0,33892000000000,40368000000000.0,3196000000000.0,2371000000000.0,2392000000000.0,403.3,5714.0,20.0,1.39,1.3,3.0,7.06,5.93,Not Overvalued
WSBP,Waskita Beton Precast Tbk. [S],BASIC INDUSTRY AND CHEMICALS,CEMENT,Year 2019,Dec-19,Dec,16149000000000.0,8015000000000.0,8135000000000,7467000000000.0,1262000000000.0,806000000000.0,806000000000.0,30.6,309.0,4.81,0.48,0.99,4.99,9.91,10.8,Not Overvalued
WTON,Wijaya Karya Beton Tbk. [S],BASIC INDUSTRY AND CHEMICALS,CEMENT,Year 2019,Dec-19,Dec,10338000000000.0,6829000000000.0,3508000000000,7083000000000.0,626000000000.0,511000000000.0,512000000000.0,58.8,403.0,4.01,0.59,1.95,4.96,14.6,7.23,Not Overvalued
AMFG,Asahimas Flat Glass Tbk.,BASIC INDUSTRY AND CHEMICALS,"CERAMICS, GLASS, PORCELAIN",Year 2019,Dec-19,Dec,8738000000000.0,5328000000000.0,3410000000000,4290000000000.0,-168000000000.0,-132000000000.0,-132000000000.0,-304.7,7857.0,-9.62,0.37,1.56,-1.51,-3.88,-3.08,Not Overvalued
ARNA,Arwana Citramulia Tbk. [S],BASIC INDUSTRY AND CHEMICALS,"CERAMICS, GLASS, PORCELAIN",Year 2019,Dec-19,Dec,1799000000000.0,622000000000.0,1177000000000,2152000000000.0,292000000000.0,218000000000.0,216000000000.0,29.4,160.0,14.0,2.55,0.53,12.0,18.3,10.0,Not Overvalued
CAKK,Cahayaputra Asa Keramik Tbk. [S],BASIC INDUSTRY AND CHEMICALS,"CERAMICS, GLASS, PORCELAIN",Year 2019,Dec-19,Dec,330000000000.0,108000000000.0,222000000000,289000000000.0,4040000000.0,2069999999.9999998,2069999999.9999998,1.72,184.0,29.0,0.27,0.49,0.63,0.93,0.71,Not Overvalued
KIAS,Keramika Indonesia Assosiasi Tbk. [S],BASIC INDUSTRY AND CHEMICALS,"CERAMICS, GLASS, PORCELAIN",Year 2019,Sep-19,Dec,1333000000000.0,317000000000.0,1016000000000,561000000000.0,-339000000000.0,-339000000000.0,-310000000000.0,-27.7,68.0,-1.8,0.73,0.31,-31.0,-40.7,-73.8,Not Overvalued
MARK,Mark Dynamics Indonesia Tbk. [S],BASIC INDUSTRY AND CHEMICALS,"CERAMICS, GLASS, PORCELAIN",Year 2019,Sep-19,Dec,433000000000.0,156000000000.0,277000000000,267000000000.0,89000000000.0,65000000000.0,65000000000.0,23.0,73.0,15.0,4.7,0.57,20.2,31.6,32.7,Not Overvalued
MLIA,Mulia Industrindo Tbk. [S],BASIC INDUSTRY AND CHEMICALS,"CERAMICS, GLASS, PORCELAIN",Year 2019,Dec-19,Dec,5758000000000.0,3225000000000.0,2533000000000,3887000000000.0,187000000000.0,127000000000.0,127000000000.0,95.8,1915.0,5.48,0.27,1.27,2.2,5.0,3.26,Not Overvalued
TOTO,Surya Toto Indonesia Tbk. [S],BASIC INDUSTRY AND CHEMICALS,"CERAMICS, GLASS, PORCELAIN",Year 2019,Sep-19,Dec,2832000000000.0,901000000000.0,1931000000000,1520000000000.0,128000000000.0,90000000000.0,90000000000.0,13.1,187.0,16.0,1.1,0.47,4.76,6.98,8.86,Not Overvalued
ADMG,Polychem Indonesia Tbk. [S],BASIC INDUSTRY AND CHEMICALS,CHEMICALS,Year 2019,Dec-19,Dec,3559000000000.0,661000000000.0,2898000000000,3255000000000.0,-415000000000.0,-413000000000.0,-413000000000.0,-106.1,745.0,-0.952,0.14,0.23,-11.6,-14.2,-12.7,Not Overvalued
AGII,Aneka Gas Industri Tbk. [S],BASIC INDUSTRY AND CHEMICALS,CHEMICALS,Year 2019,Dec-19,Dec,7022000000000.0,3721000000000.0,3300000000000,2204000000000.0,138000000000.0,103000000000.0,101000000000.0,32.9,1076.0,13.0,0.41,1.13,1.44,3.06,4.58,Not Overvalued
BRPT,Barito Pacific Tbk. [S],BASIC INDUSTRY AND CHEMICALS,CHEMICALS,Year 2019,Dec-19,Dec,100159000000000.0,61729000000000.0,38430000000000,33502000000000.0,3858000000000.0,1916000000000.0,615000000000.0,6.91,432.0,210.0,3.36,1.61,0.61,1.6,1.84,Overvalued
DPNS,Duta Pertiwi Nusantara Tbk. [S],BASIC INDUSTRY AND CHEMICALS,CHEMICALS,Year 2019,Dec-19,Dec,318000000000.0,36000000000.0,282000000000,119000000000.0,5300000000.0,3940000000.0,5160000000.0,15.6,852.0,12.0,0.21,0.13,1.62,1.83,4.34,Not Overvalued
EKAD,Ekadharma International Tbk. [S],BASIC INDUSTRY AND CHEMICALS,CHEMICALS,Year 2019,Dec-19,Dec,968000000000.0,116000000000.0,853000000000,758000000000.0,112000000000.0,77000000000.0,74000000000.0,105.6,1220.0,8.29,0.72,0.14,7.62,8.65,9.73,Not Overvalued
INCI,Intanwijaya Internasional Tbk. [S],BASIC INDUSTRY AND CHEMICALS,CHEMICALS,Year 2019,Sep-19,Dec,405000000000.0,71000000000.0,334000000000,281000000000.0,13000000000.0,9590000000.0,9590000000.0,65.2,1703.0,5.73,0.22,0.21,3.16,3.83,4.55,Not Overvalued
MDKI,Emdeki Utama Tbk. [S],BASIC INDUSTRY AND CHEMICALS,CHEMICALS,Year 2019,Dec-19,Dec,924000000000.0,89000000000.0,834000000000,350000000000.0,42000000000.0,33000000000.0,32000000000.0,12.8,330.0,10.0,0.4,0.11,3.51,3.89,9.28,Not Overvalued
MOLI,Madusari Murni Indah Tbk.,BASIC INDUSTRY AND CHEMICALS,CHEMICALS,Year 2019,Sep-19,Dec,1843000000000.0,668000000000.0,1175000000000,825000000000.0,69000000000.0,51000000000.0,40000000000.0,22.8,503.0,48.0,2.17,0.57,2.89,4.53,6.45,Overvalued
SAMF,Saraswanti Anugerah Makmur Tbk. [S],BASIC INDUSTRY AND CHEMICALS,CHEMICALS,Year 2019,Sep-19,Dec,1416000000000.0,799000000000.0,617000000000,966000000000.0,91000000000.0,71000000000.0,67000000000.0,17.5,120.0,23.0,3.32,1.3,6.34,14.6,9.29,Not Overvalued
SRSN,Indo Acidatama Tbk. [S],BASIC INDUSTRY AND CHEMICALS,CHEMICALS,Year 2019,Dec-19,Dec,779000000000.0,265000000000.0,515000000000,684000000000.0,57000000000.0,43000000000.0,43000000000.0,7.11,85.0,7.45,0.62,0.51,5.5,8.32,6.26,Not Overvalued
TDPM,Tridomain Performance Materials Tbk. [S],BASIC INDUSTRY AND CHEMICALS,CHEMICALS,Year 2019,Dec-19,Dec,4968000000000.0,2759000000000.0,2210000000000,4311000000000.0,330000000000.0,224000000000.0,218000000000.0,20.8,211.0,4.57,0.45,1.25,4.39,9.86,5.06,Not Overvalued
TPIA,Chandra Asri Petrochemical Tbk. [S],BASIC INDUSTRY AND CHEMICALS,CHEMICALS,Year 2019,Dec-19,Dec,48127000000000.0,23570000000000.0,24557000000000,26230000000000.0,541000000000.0,330000000000.0,319000000000.0,17.9,1377.0,502.0,6.52,0.96,0.66,1.3,1.22,Overvalued
UNIC,Unggul Indah Cahaya Tbk. [S],BASIC INDUSTRY AND CHEMICALS,CHEMICALS,Year 2019,Dec-19,Dec,3065000000000.0,607000000000.0,2457000000000,4492000000000.0,192000000000.0,159000000000.0,170000000000.0,444.3,6410.0,7.11,0.49,0.25,5.56,6.93,3.79,Not Overvalued
ALKA,Alakasa Industrindo Tbk. [S],BASIC INDUSTRY AND CHEMICALS,METAL AND ALLIED PRODUCTS,Year 2019,Sep-19,Dec,587000000000.0,466000000000.0,121000000000,1399000000000.0,17000000000.0,21000000000.0,19000000000.0,49.7,238.0,8.61,1.8,3.85,4.3,20.9,1.8,Not Overvalued
ALMI,Alumindo Light Metal Industry Tbk.,BASIC INDUSTRY AND CHEMICALS,METAL AND ALLIED PRODUCTS,Year 2019,Sep-19,Dec,1933000000000.0,1774000000000.0,159000000000,2001000000000.0,-182000000000.0,-145000000000.0,-145000000000.0,-313.0,258.0,-0.767,0.93,11.2,-9.97,-121.5,-9.63,Not Overvalued
BAJA,Saranacentral Bajatama Tbk.,BASIC INDUSTRY AND CHEMICALS,METAL AND ALLIED PRODUCTS,Year 2019,Dec-19,Dec,837000000000.0,763000000000.0,74000000000,1073000000000.0,5030000000.0,1110000000.0,1110000000.0,0.62,41.0,84.0,1.26,10.3,0.13,1.5,0.1,Overvalued
BTON,Betonjaya Manunggal Tbk. [S],BASIC INDUSTRY AND CHEMICALS,METAL AND ALLIED PRODUCTS,Year 2019,Dec-19,Dec,231000000000.0,46000000000.0,184000000000,122000000000.0,2890000000.0,1270000000.0,1270000000.0,1.76,256.0,85.0,0.59,0.25,0.55,0.69,1.04,Overvalued
CTBN,Citra Tubindo Tbk. [S],BASIC INDUSTRY AND CHEMICALS,METAL AND ALLIED PRODUCTS,Year 2019,Dec-19,Dec,2403000000000.0,988000000000.0,1415000000000,2002000000000.0,48000000000.0,23000000000.0,23000000000.0,28.8,1768.0,85.0,1.39,0.7,0.96,1.63,1.15,Overvalued
GDST,Gunawan Dianjaya Steel Tbk. [S],BASIC INDUSTRY AND CHEMICALS,METAL AND ALLIED PRODUCTS,Year 2019,Dec-19,Dec,1759000000000.0,841000000000.0,917000000000,1853000000000.0,31000000000.0,27000000000.0,27000000000.0,2.9,99.0,19.0,0.55,0.92,1.52,2.92,1.45,Not Overvalued
GGRP,Gunung Raja Paksi Tbk. [S],BASIC INDUSTRY AND CHEMICALS,METAL AND ALLIED PRODUCTS,Year 2019,Dec-19,Dec,14909000000000.0,5263000000000.0,9646000000000,11484000000000.0,-379000000000.0,-290000000000.0,-290000000000.0,-23.9,796.0,-12.0,0.37,0.55,-1.94,-3.0,-2.52,Not Overvalued
INAI,Indal Aluminium Industry Tbk.,BASIC INDUSTRY AND CHEMICALS,METAL AND ALLIED PRODUCTS,Year 2019,Dec-19,Dec,1213000000000.0,894000000000.0,319000000000,1216000000000.0,48000000000.0,34000000000.0,34000000000.0,53.0,504.0,6.34,0.67,2.8,2.77,10.5,2.76,Not Overvalued
ISSP,Steel Pipe Industry of Indonesia Tbk.,BASIC INDUSTRY AND CHEMICALS,METAL AND ALLIED PRODUCTS,Year 2019,Dec-19,Dec,6425000000000.0,3326000000000.0,3099000000000,4886000000000.0,233000000000.0,186000000000.0,186000000000.0,25.8,431.0,4.88,0.29,1.07,2.89,5.99,3.8,Not Overvalued
KRAS,Krakatau Steel (Persero) Tbk.,BASIC INDUSTRY AND CHEMICALS,METAL AND ALLIED PRODUCTS,Year 2019,Sep-19,Dec,60913000000000.0,38029000000000.0,22884000000000,14926000000000.0,-3016000000000.0,-3053000000000.0,-3004000000000.0,-207.0,1183.0,-0.826,0.14,1.66,-6.57,-17.5,-26.8,Not Overvalued
LION,Lion Metal Works Tbk. [S],BASIC INDUSTRY AND CHEMICALS,METAL AND ALLIED PRODUCTS,Year 2019,Dec-19,Dec,688000000000.0,219000000000.0,469000000000,372000000000.0,5760000000.0,930000000.0,930000000.0,1.78,901.0,137.0,0.27,0.47,0.13,0.2,0.25,Overvalued
LMSH,Lionmesh Prima Tbk. [S],BASIC INDUSTRY AND CHEMICALS,METAL AND ALLIED PRODUCTS,Year 2019,Dec-19,Dec,147000000000.0,33000000000.0,114000000000,178000000000.0,-19000000000.0,-18000000000.0,-18000000000.0,-190.1,1184.0,-1.3,0.21,0.29,-12.4,-16.1,-10.3,Not Overvalued
NIKL,Pelat Timah Nusantara Tbk.,BASIC INDUSTRY AND CHEMICALS,METAL AND ALLIED PRODUCTS,Year 2019,Dec-19,Dec,2115000000000.0,1479000000000.0,636000000000,2274000000000.0,54000000000.0,37000000000.0,37000000000.0,14.8,252.0,27.0,1.59,2.32,1.77,5.87,1.64,Not Overvalued
PICO,Pelangi Indah Canindo Tbk. [S],BASIC INDUSTRY AND CHEMICALS,METAL AND ALLIED PRODUCTS,Year 2019,Sep-19,Dec,885000000000.0,572000000000.0,313000000000,593000000000.0,21000000000.0,16000000000.0,16000000000.0,38.2,551.0,7.33,0.51,1.83,2.45,6.93,3.66,Not Overvalued
PURE,Trinitan Metals and Minerals Tbk.,BASIC INDUSTRY AND CHEMICALS,METAL AND ALLIED PRODUCTS,Year 2019,Mar-19,Dec,653000000000.0,538000000000.0,115000000000,140000000000.0,9420000000.0,7170000000.0,7170000000.0,21.5,87.0,4.69,1.17,4.66,4.39,24.9,20.5,Not Overvalued
TBMS,Tembaga Mulia Semanan Tbk. [S],BASIC INDUSTRY AND CHEMICALS,METAL AND ALLIED PRODUCTS,Year 2019,Dec-19,Dec,2147000000000.0,1480000000000.0,668000000000,8141000000000.0,111000000000.0,83000000000.0,83000000000.0,225.2,1817.0,2.51,0.31,2.22,3.85,12.4,1.02,Not Overvalued
AKPI,Argha Karya Prima Industry Tbk. [S],BASIC INDUSTRY AND CHEMICALS,PLASTICS & PACKAGING,Year 2019,Sep-19,Dec,2801000000000.0,1575000000000.0,1225000000000,1710000000000.0,14000000000.0,11000000000.0,11000000000.0,20.7,1802.0,20.0,0.23,1.29,0.5,1.15,0.82,Not Overvalued
APLI,Asiaplast Industries Tbk. [S],BASIC INDUSTRY AND CHEMICALS,PLASTICS & PACKAGING,Year 2019,Sep-19,Dec,432000000000.0,223000000000.0,210000000000,336000000000.0,11000000000.0,5010000000.0,5040000000.0,4.93,154.0,26.0,0.83,1.06,1.55,3.2,2.0,Not Overvalued
BRNA,Berlina Tbk. [S],BASIC INDUSTRY AND CHEMICALS,PLASTICS & PACKAGING,Year 2019,Sep-19,Dec,2450000000000.0,1433000000000.0,1018000000000,953000000000.0,-119000000000.0,-92000000000.0,-90000000000.0,-122.7,1040.0,-8.15,0.96,1.41,-4.9,-11.8,-12.6,Not Overvalued
ESIP,Sinergi Inti Plastindo Tbk. [S],BASIC INDUSTRY AND CHEMICALS,PLASTICS & PACKAGING,Year 2019,Dec-19,Dec,76000000000.0,24000000000.0,52000000000,54000000000.0,1390000000.0,1190000000.0,1190000000.0,1.86,81.0,90.0,2.07,0.47,1.58,2.31,2.23,Overvalued
FPNI,Lotte Chemical Titan Tbk. [S],BASIC INDUSTRY AND CHEMICALS,PLASTICS & PACKAGING,Year 2019,Dec-19,Dec,2311000000000.0,928000000000.0,1383000000000,4629000000000.0,-60000000000.0,-46000000000.0,-46000000000.0,-8.23,249.0,-10.0,0.34,0.67,-1.98,-3.31,-0.99,Not Overvalued
IGAR,Champion Pacific Indonesia Tbk. [S],BASIC INDUSTRY AND CHEMICALS,PLASTICS & PACKAGING,Year 2019,Sep-19,Dec,616000000000.0,88000000000.0,528000000000,611000000000.0,69000000000.0,51000000000.0,37000000000.0,50.6,543.0,4.75,0.44,0.17,7.98,9.32,8.05,Not Overvalued
IMPC,Impack Pratama Industri Tbk. [S],BASIC INDUSTRY AND CHEMICALS,PLASTICS & PACKAGING,Year 2019,Dec-19,Dec,2501000000000.0,1093000000000.0,1408000000000,1496000000000.0,134000000000.0,93000000000.0,104000000000.0,21.5,291.0,51.0,3.74,0.78,4.15,7.36,6.93,Overvalued
IPOL,Indopoly Swakarsa Industry Tbk. [S],BASIC INDUSTRY AND CHEMICALS,PLASTICS & PACKAGING,Year 2019,Dec-19,Dec,3870000000000.0,1592000000000.0,2279000000000,2834000000000.0,92000000000.0,63000000000.0,59000000000.0,9.14,354.0,6.78,0.18,0.7,1.52,2.58,2.08,Not Overvalued
PBID,Panca Budi Idaman Tbk. [S],BASIC INDUSTRY AND CHEMICALS,PLASTICS & PACKAGING,Year 2019,Dec-19,Dec,2339000000000.0,671000000000.0,1668000000000,4633000000000.0,298000000000.0,224000000000.0,223000000000.0,118.9,890.0,7.61,1.02,0.4,9.53,13.4,4.81,Not Overvalued
SMKL,Satyamitra Kemas Lestari Tbk.,BASIC INDUSTRY AND CHEMICALS,PLASTICS & PACKAGING,Year 2019,Sep-19,Dec,1694000000000.0,1007000000000.0,687000000000,1432000000000.0,38000000000.0,27000000000.0,27000000000.0,10.6,202.0,17.0,0.89,1.47,2.12,5.22,2.51,Not Overvalued
TALF,Tunas Alfin Tbk.,BASIC INDUSTRY AND CHEMICALS,PLASTICS & PACKAGING,Year 2019,Dec-19,Dec,1329000000000.0,321000000000.0,1008000000000,925000000000.0,40000000000.0,27000000000.0,27000000000.0,19.8,745.0,13.0,0.35,0.32,2.01,2.65,2.89,Not Overvalued
TRST,Trias Sentosa Tbk. [S],BASIC INDUSTRY AND CHEMICALS,PLASTICS & PACKAGING,Year 2019,Sep-19,Dec,4550000000000.0,2331000000000.0,2220000000000,2001000000000.0,32000000000.0,44000000000.0,44000000000.0,20.9,791.0,17.0,0.44,1.05,1.29,2.64,2.93,Not Overvalued
YPAS,Yanaprima Hastapersada Tbk. [S],BASIC INDUSTRY AND CHEMICALS,PLASTICS & PACKAGING,Year 2019,Dec-19,Dec,278000000000.0,157000000000.0,121000000000,388000000000.0,2900000000.0,3490000000.0,3490000000.0,5.22,182.0,54.0,1.55,1.29,1.25,2.87,0.9,Overvalued
ALDO,Alkindo Naratama Tbk. [S],BASIC INDUSTRY AND CHEMICALS,PULP & PAPER,Year 2019,Dec-19,Dec,925000000000.0,392000000000.0,533000000000,1096000000000.0,122000000000.0,78000000000.0,56000000000.0,51.2,485.0,8.2,0.87,0.73,6.09,10.6,5.14,Not Overvalued
FASW,Fajar Surya Wisesa Tbk. [S],BASIC INDUSTRY AND CHEMICALS,PULP & PAPER,Year 2019,Dec-19,Dec,10752000000000.0,6059000000000.0,4693000000000,8269000000000.0,1221000000000.0,969000000000.0,969000000000.0,391.0,1894.0,18.0,3.62,1.29,9.01,20.6,11.7,Not Overvalued
